,subj,sex,age,language,english,french,date,native_lang,block,trial,stim,pitch,stretch,reponse,rt,segment_time,stim_order,param_index
147,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,36,sounds\french\audio/french_414.wav,99.20914295,0.34805763,0,3.503,0.25666667,,
148,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,37,sounds\french\audio/french_84.wav,-54.85806939,1.84853156,0,0.729,0.0,,
149,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,37,sounds\french\audio/french_84.wav,52.61671493,1.627657,0,0.729,0.1,,
150,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,37,sounds\french\audio/french_84.wav,-3.50081054,1.36210905,0,0.729,0.2,,
151,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,37,sounds\french\audio/french_84.wav,-40.76156086,0.69575672,0,0.729,0.25666667,,
152,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,38,sounds\french\audio/french_299.wav,12.52470623,1.64482663,0,0.26,0.0,,
153,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,38,sounds\french\audio/french_299.wav,-97.26544336,1.84069115,0,0.26,0.1,,
154,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,38,sounds\french\audio/french_299.wav,-80.62903972,0.25110426,0,0.26,0.2,,
155,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,38,sounds\french\audio/french_299.wav,73.47257664,1.45765737,0,0.26,0.25666667,,
156,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,39,sounds\french\audio/french_521.wav,11.04386286,1.73052604,1,1.149,0.0,,
157,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,39,sounds\french\audio/french_521.wav,-55.65083084,0.96564678,1,1.149,0.1,,
158,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,39,sounds\french\audio/french_521.wav,98.93037095,1.35299162,1,1.149,0.2,,
159,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,39,sounds\french\audio/french_521.wav,14.06437892,1.41353716,1,1.149,0.25666667,,
160,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,40,sounds\french\audio/french_685.wav,-62.74714371,1.57330944,1,0.978,0.0,,
161,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,40,sounds\french\audio/french_685.wav,48.52467862,1.34151114,1,0.978,0.1,,
162,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,40,sounds\french\audio/french_685.wav,4.749694,0.18097188,1,0.978,0.2,,
163,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,40,sounds\french\audio/french_685.wav,88.03032973,0.30113467,1,0.978,0.25666667,,
164,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,41,sounds\french\audio/french_674.wav,36.8658398,0.63817569,0,0.481,0.0,,
165,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,41,sounds\french\audio/french_674.wav,-70.55199619,1.9135219,0,0.481,0.1,,
166,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,41,sounds\french\audio/french_674.wav,-3.70121723,1.96782527,0,0.481,0.2,,
167,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,41,sounds\french\audio/french_674.wav,30.12615154,0.86862342,0,0.481,0.25666667,,
168,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,42,sounds\french\audio/french_569.wav,14.0156596,1.29627558,1,0.871,0.0,,
169,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,42,sounds\french\audio/french_569.wav,85.00283799,1.08637511,1,0.871,0.1,,
170,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,42,sounds\french\audio/french_569.wav,-53.61423207,1.60007367,1,0.871,0.2,,
171,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,42,sounds\french\audio/french_569.wav,-38.88478833,0.57872623,1,0.871,0.25666667,,
172,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,43,sounds\french\audio/french_754.wav,11.6644261,0.15061695,1,0.695,0.0,,
173,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,43,sounds\french\audio/french_754.wav,5.00985124,0.57469516,1,0.695,0.1,,
174,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,43,sounds\french\audio/french_754.wav,23.99974903,0.45412791,1,0.695,0.2,,
175,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,43,sounds\french\audio/french_754.wav,23.77807811,0.27591884,1,0.695,0.25666667,,
176,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,44,sounds\french\audio/french_942.wav,-53.20970077,1.55725844,1,0.821,0.0,,
