subj,trial,block,date,stim,stim_order,response,rt,age,french,english,language,sex,param_index,segment,pitch,stretch
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,2,0.2,-51.96309591,0.99210399
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,3,0.3,-32.78859188,1.78072811
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,4,0.4,-95.94778971,1.41176375
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,5,0.5,-11.78332853,1.55874985
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,6,0.6,-10.35049824,1.36913047
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,7,0.7,53.73969009,0.4263867
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,8,0.8,1.94738184,0.39920947
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,9,0.9,99.67224387,0.77245074
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,10,1.0,-21.02452642,1.01720092
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,11,1.1,31.82099625,0.36356833
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,12,1.14141667,-23.69460156,1.1771893
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,0,0.0,-21.76223445,1.58709165
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,1,0.1,-69.88378146,1.30096868
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,2,0.2,-54.62116144,0.79134487
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,3,0.3,80.40698851,1.38985141
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,4,0.4,44.49094145,1.16396661
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,5,0.5,-34.58786744,0.50418915
60eb21bd3807b3a1810ea180,9,0,2024-02-27T11:17:09.361Z,french_765.wav,0,pull,540,20,5,4,francias,f,6,0.6,-82.72511393,0.66043503
